Point ID,Points_0,Points_1,Points_2,Points_Magnitude,displacement_0,displacement_1,displacement_2,displacement_Magnitude,velocity_0,velocity_1,velocity_2,velocity_Magnitude
0,117948,5688.53,0,118086,0.0458398,0.000758817,-0.00996554,0.0469167,0,0,0,0
1,-49018.7,-35882.8,0,60748.8,-0.0770098,-0.045704,0.0293545,0.0942393,0,0,0,0
2,-39213,-35678.7,0,53015.3,-0.104519,-0.0756813,0.0576726,0.141344,0,0,0,0
3,-43760,-43173.7,0,61472.8,-0.0598233,-0.0488515,0.0262417,0.0815716,0,0,0,0
4,-22233,-133736,0,135571,0.00517028,-0.000174529,0.0011304,0.00529529,0,0,0,0
5,-33653.1,-117555,0,122277,0.0038831,-0.00137455,0.00123509,0.00430039,0,0,0,0
6,-13978.8,-118089,0,118913,0.00538783,-0.000592717,0.00165136,0.00566631,0,0,0,0
7,18229.4,-133755,0,134991,0.00764207,-8.9889e-05,0.00111014,0.0077228,0,0,0,0
8,132563,-43198.4,0,139424,0.0363521,-0.00379351,-0.01257,0.0386506,0,0,0,0
9,150000,-30775.6,0,153125,0.0389352,-0.00468404,-0.0187607,0.0434724,0,0,0,0
10,129068,-87835.8,0,156121,0.0222769,-0.00338544,-0.00826105,0.0239993,0,0,0,0
11,105330,-100185,0,145366,0.018486,-0.00241542,-0.00459846,0.0192019,0,0,0,0
12,111425,-75917.1,0,134829,0.0253269,-0.00366528,-0.0063218,0.0263601,0,0,0,0
13,25666.8,-117311,0,120086,0.00868622,-0.000511589,0.00138005,0.00881004,0,0,0,0
14,31911.2,-100492,0,105437,0.0111882,-0.00246163,0.00197227,0.0116244,0,0,0,0
15,46371.7,-115068,0,124060,0.0108319,-0.00137649,0.000473019,0.0109292,0,0,0,0
16,-107398,-131397,0,169704,0.000628952,-0.00147613,-0.00150795,0.00220192,0,0,0,0
17,-122580,-150000,0,193716,0.000535992,0,-0.00176344,0.00184309,0,0,0,0
18,-129138,-129209,0,182679,0.00025048,-0.00157933,-0.00193369,0.00250922,0,0,0,0
19,113451,68052.2,0,132296,0.0281049,0.0039224,-0.00687618,0.0291985,0,0,0,0
20,133714,-2152.32,0,133731,0.0437709,-0.000251345,-0.0147966,0.046205,0,0,0,0
21,150000,10196.8,0,150346,0.0421878,0.00176528,-0.0200512,0.0467438,0,0,0,0
22,-24546.3,-3178.06,0,24751.2,-0.679044,-0.0747396,0.913202,1.14045,0,0,0,0
23,133736,18218.5,0,134971,0.0421934,0.00196608,-0.0144,0.0446263,0,0,0,0
24,150000,30775.6,0,153125,0.0387698,0.00472872,-0.0186894,0.0432984,0,0,0,0
25,-130539,-106671,0,168579,-0.000410556,-0.00324744,-0.00201253,0.00384249,0,0,0,0
26,-108746,-93038.6,0,143115,-0.00211891,-0.0046445,-0.00164336,0.005363,0,0,0,0
27,-114246,-114661,0,161862,-0.000183362,-0.00280154,-0.0016847,0.00327421,0,0,0,0
28,-131397,107398,0,169704,-0.000419594,0.00323027,-0.0019974,0.00382104,0,0,0,0
29,-129209,129138,0,182679,0.000269939,0.00159935,-0.00189479,0.00249419,0,0,0,0
