Point ID,Points_0,Points_1,Points_2,Points_Magnitude,displacement_0,displacement_1,displacement_2,displacement_Magnitude,velocity_0,velocity_1,velocity_2,velocity_Magnitude
0,-88042.8,35925.9,0,95090.5,-0.0119969,0.00529625,0.00302644,0.0134586,-3.80158e-09,1.67828e-09,9.59021e-10,4.26478e-09
1,-87111,52500.1,0,101708,-0.00788902,0.00472222,0.00173044,0.00935577,-2.49988e-09,1.49638e-09,5.48343e-10,2.96467e-09
2,-74638.7,45062.8,0,87187.1,-0.0153478,0.00947249,0.00463847,0.0186225,-4.86341e-09,3.00165e-09,1.46984e-09,5.90111e-09
3,-112988,95412.8,0,147885,-0.00132421,0.00132333,0.000120998,0.001876,-4.19617e-10,4.19337e-10,3.83419e-11,5.94468e-10
4,122585,-150000,0,193719,0.000457232,0,3.92176e-05,0.000458911,1.44888e-10,0,1.24273e-11,1.4542e-10
5,-73503.3,60039,0,94907.4,-0.00943767,0.00772181,0.002745,0.0124992,-2.99062e-09,2.44689e-09,8.69837e-10,3.96077e-09
6,52500.7,87111.4,0,101709,0.00476808,0.0083032,0.00180884,0.00974422,1.51091e-09,2.63113e-09,5.73188e-10,3.08776e-09
7,60041.1,73504.9,0,94910,0.00762149,0.00942787,0.00293822,0.0124742,2.4151e-09,2.98751e-09,9.31067e-10,3.95283e-09
8,45064.1,74639.7,0,87188.6,0.00976825,0.0155164,0.00415399,0.0187998,3.09537e-09,4.91684e-09,1.31632e-09,5.9573e-09
9,-114318,73854.6,0,136099,-0.00205078,0.00172508,0.000285434,0.00269501,-6.49854e-10,5.46645e-10,9.04484e-11,8.53998e-10
10,-93066.1,82416,0,124313,-0.0029071,0.00264105,0.000782961,0.00400492,-9.21205e-10,8.36899e-10,2.48105e-10,1.26908e-09
11,-75377.2,30343.4,0,81255.5,-0.0223442,0.00920251,0.00625633,0.0249618,-7.08044e-09,2.9161e-09,1.98251e-09,7.90991e-09
12,-63699.6,38111.9,0,74230.4,-0.0280926,0.0158911,0.00915986,0.0335504,-8.90202e-09,5.03559e-09,2.90258e-09,1.06315e-08
13,37449.2,-39392.6,0,54352.7,0.0689703,-0.0745793,0.0464105,0.111682,2.18554e-08,-2.36327e-08,1.47066e-08,3.53899e-08
14,29861.7,-40130.5,0,50021.8,0.0787616,-0.107349,0.0673781,0.149222,2.49581e-08,-3.4017e-08,2.13508e-08,4.72855e-08
15,32757.3,-33495.5,0,46850.8,0.11658,-0.11976,0.0930131,0.191271,3.69419e-08,-3.79496e-08,2.94741e-08,6.06102e-08
16,-5849.89,118265,0,118409,-0.000280286,0.00458019,0.000723141,0.00464539,-8.88174e-11,1.45138e-09,2.2915e-10,1.47204e-09
17,88672.4,19175.4,0,90722,0.0149614,0.00304659,0.00254161,0.0154785,4.74097e-09,9.65407e-10,8.05389e-10,4.90484e-09
18,84268.6,37659.3,0,92300.7,0.0123384,0.00558383,0.00323372,0.0139238,3.90979e-09,1.76941e-09,1.02471e-09,4.41217e-09
19,75656.1,22514.3,0,78935,0.0249026,0.00793464,0.00762464,0.0272256,7.89114e-09,2.51433e-09,2.4161e-09,8.62726e-09
20,38399.8,-133138,0,138565,0.000998196,-0.00154895,0.000394231,0.00188443,3.16309e-10,-4.90833e-10,1.24924e-10,5.97139e-10
21,30776.7,-150000,0,153125,0.000686157,0,0.000406203,0.000797379,2.1743e-10,0,1.28718e-10,2.52674e-10
22,51914.1,-150000,0,158730,0.000941652,0,0.000438096,0.00103857,2.98391e-10,0,1.38824e-10,3.29104e-10
23,-18649.6,-25892.5,0,31909.7,-0.263205,-0.369414,0.466953,0.650991,-8.34047e-08,-1.1706e-07,1.47969e-07,2.06287e-07
24,-15531.1,-22640.6,0,27455.7,-0.322425,-0.477658,0.739143,0.937255,-1.0217e-07,-1.51361e-07,2.3422e-07,2.96998e-07
25,-133938,2013.65,0,133953,-0.00180885,7.52029e-05,0.000433079,0.00186149,-5.73191e-10,2.38304e-11,1.37235e-10,5.89872e-10
26,-133854,-18281.5,0,135097,-0.00179448,-0.000551545,0.000407607,0.00192107,-5.68636e-10,-1.74774e-10,1.29163e-10,6.0875e-10
27,-118265,-5849.88,0,118409,-0.00451975,-0.000230016,0.000722686,0.00458294,-1.43222e-09,-7.28875e-11,2.29005e-10,1.45225e-09
28,-9122.73,-27956.1,0,29407,-0.156023,-0.503131,0.616058,0.810563,-4.94407e-08,-1.59433e-07,1.95217e-07,2.56852e-07
29,150000,150000,0,212132,0,0,-0.000110545,0.000110545,0,0,-3.50295e-11,3.50295e-11
30,129139,129210,0,182680,0.000399673,0.000392312,-5.39408e-05,0.000562634,1.26649e-10,1.24316e-10,-1.70928e-11,1.78288e-10
31,150000,122585,0,193719,0,0.000456261,-7.09994e-05,0.000461753,0,1.44581e-10,-2.24984e-11,1.46321e-10
32,-11075.8,-23798.4,0,26249.6,-0.263068,-0.551866,0.833303,1.03352,-8.33613e-08,-1.74876e-07,2.64058e-07,3.27501e-07
33,-12653.7,-19752.9,0,23458.3,-0.349781,-0.558218,1.06427,1.25165,-1.10839e-07,-1.76889e-07,3.37248e-07,3.96625e-07
34,-37648.6,84248.4,0,92278,-0.0057537,0.0126385,0.00290448,0.014187,-1.82324e-09,4.00488e-09,9.20375e-10,4.4956e-09
35,-46077.5,71159.7,0,84775.2,-0.0106632,0.0170728,0.00465583,0.0206606,-3.37897e-09,5.41004e-09,1.47534e-09,6.54695e-09
36,85334.7,131806,0,157019,0.00106056,0.000820096,9.55664e-05,0.00134405,3.3607e-10,2.59873e-10,3.02832e-11,4.25903e-10
37,122585,150000,0,193719,0.000467064,0,-6.52192e-05,0.000471595,1.48003e-10,0,-2.06667e-11,1.49439e-10
38,103137,13089.1,0,103965,0.00875124,0.00107202,0.0015637,0.00895425,2.7731e-09,3.39702e-10,4.95507e-10,2.83743e-09
39,89460.7,1522.34,0,89473.6,0.0155865,0.000264358,0.00318389,0.0159105,4.93905e-09,8.37701e-11,1.00891e-09,5.04174e-09
40,-107397,-131396,0,169703,-0.000773916,-0.000531698,-2.57369e-05,0.000939314,-2.45239e-10,-1.68485e-10,-8.15554e-12,2.97651e-10
41,24422.7,-6210.7,0,25200,0.620799,-0.16034,0.919622,1.12107,1.96719e-07,-5.08087e-08,2.91411e-07,3.55247e-07
42,28356.8,-4153,0,28659.3,0.553361,-0.0819241,0.658047,0.863681,1.7535e-07,-2.59602e-08,2.08522e-07,2.73684e-07
43,27348.7,-12816.6,0,30202.9,0.458348,-0.206443,0.553395,0.747628,1.45242e-07,-6.54177e-08,1.7536e-07,2.36909e-07
44,23794.4,-10572.6,0,26037.6,0.557894,-0.254201,0.851046,1.04888,1.76786e-07,-8.05513e-08,2.6968e-07,3.32369e-07
45,27166.4,-8455.06,0,28451.7,0.521924,-0.157537,0.677049,0.869263,1.65388e-07,-4.99206e-08,2.14544e-07,2.75453e-07
46,20852.9,-8183.22,0,22401.1,0.631581,-0.2503,1.16654,1.34995,2.00136e-07,-7.93153e-08,3.69653e-07,4.27772e-07
47,-37897,3792.98,0,38086.3,-0.316133,0.0309596,0.232548,0.393671,-1.00177e-07,9.8105e-09,7.36899e-08,1.24747e-07
48,-131806,85334.7,0,157019,-0.000801549,0.00109111,0.00015623,0.00136287,-2.53996e-10,3.45752e-10,4.95063e-11,4.31867e-10
49,-132553,63590,0,147017,-0.00109023,0.00117235,0.000190346,0.00161222,-3.45473e-10,3.71497e-10,6.0317e-11,5.10881e-10
50,11611.3,30848.3,0,32961.2,0.152591,0.409328,0.419518,0.605664,4.83532e-08,1.29708e-07,1.32937e-07,1.91923e-07
51,9029.48,27841.7,0,29269.3,0.166658,0.518076,0.628216,0.831163,5.28106e-08,1.64168e-07,1.9907e-07,2.6338e-07
52,-117560,33651.4,0,122282,-0.00366299,0.00137165,0.000532936,0.00394752,-1.16073e-09,4.34649e-10,1.68877e-10,1.25089e-09
53,-102538,25280.1,0,105608,-0.00803382,0.00232242,0.00149015,0.00849449,-2.54576e-09,7.35932e-10,4.722e-10,2.69174e-09
54,-101802,43965.4,0,110890,-0.00584821,0.00268793,0.000972855,0.00650945,-1.85319e-09,8.51752e-10,3.08279e-10,2.06272e-09
55,-22239.1,-133741,0,135578,-0.000584065,-0.00173128,0.000509128,0.00189675,-1.85079e-10,-5.4861e-10,1.61333e-10,6.01045e-10
56,-42645.3,-133291,0,139946,-0.00105277,-0.0015072,0.000455231,0.00189399,-3.33603e-10,-4.77603e-10,1.44254e-10,6.0017e-10
57,-30776.7,-150000,0,153125,-0.000701484,0,0.000335216,0.000777463,-2.22287e-10,0,1.06224e-10,2.46363e-10
58,-22464.5,15736.4,0,27427.9,-0.475671,0.33248,0.742049,0.942042,-1.50731e-07,1.05356e-07,2.35141e-07,2.98515e-07
59,-23594.5,11132.4,0,26088.9,-0.560445,0.264448,0.842306,1.04571,-1.77594e-07,8.37986e-08,2.66911e-07,3.31366e-07
60,-132362,-60437.4,0,145507,-0.00116225,-0.00121904,0.000294041,0.00170978,-3.68295e-10,-3.86291e-10,9.31761e-11,5.41797e-10
61,-150000,-73990.2,0,167256,0,-0.00103446,0.00025634,0.00106574,0,-3.27799e-10,8.12291e-11,3.37714e-10
62,-150000,-97399.6,0,178848,0,-0.000854078,0.000108045,0.000860885,0,-2.70641e-10,3.42375e-11,2.72798e-10
63,-130900,-83255.3,0,155133,-0.000846173,-0.00114661,0.000122286,0.00143027,-2.68136e-10,-3.63339e-10,3.87499e-11,4.53226e-10
64,-30850.5,11611.1,0,32963.1,-0.398264,0.151216,0.410789,0.591801,-1.26202e-07,4.79174e-08,1.30171e-07,1.8753e-07
65,-27838.8,9028.13,0,29266.1,-0.504986,0.16558,0.632372,0.826028,-1.6002e-07,5.24692e-08,2.00387e-07,2.61753e-07
66,-26908.9,13826.3,0,30253.2,-0.440238,0.234764,0.55572,0.746825,-1.39503e-07,7.43922e-08,1.76097e-07,2.36655e-07
67,-33100.8,729.915,0,33108.8,-0.427074,0.00303779,0.413066,0.594159,-1.35332e-07,9.62618e-10,1.30893e-07,1.88278e-07
68,-28720.7,-1365.36,0,28753.2,-0.533642,-0.0236308,0.653389,0.843949,-1.69101e-07,-7.48814e-09,2.07047e-07,2.67431e-07
69,-24939.5,1761.87,0,25001.6,-0.6327,0.0503239,0.930202,1.12611,-2.00491e-07,1.59467e-08,2.94763e-07,3.56842e-07
70,-24752.6,-2855.57,0,24916.8,-0.636846,-0.0657467,0.94181,1.13882,-2.01804e-07,-2.08339e-08,2.98442e-07,3.60869e-07
71,111651,-96793.4,0,147767,0.00132884,-0.00136447,0.000154802,0.00191091,4.21083e-10,-4.32375e-10,4.90538e-11,6.05529e-10
72,-27947.7,-6460.51,0,28684.7,-0.530232,-0.115989,0.641516,0.840323,-1.6802e-07,-3.67546e-08,2.03284e-07,2.66282e-07
73,-11614.3,7600.37,0,13880.1,-0.534986,0.341752,1.99629,2.0948,-1.69527e-07,1.08295e-07,6.32587e-07,6.63802e-07
74,-14428.8,7085.2,0,16074.5,-0.611411,0.30221,1.7856,1.91142,-1.93744e-07,9.57646e-08,5.65822e-07,6.05692e-07
75,-13099.7,9469.75,0,16164.1,-0.551999,0.395898,1.77983,1.90505,-1.74918e-07,1.25453e-07,5.63993e-07,6.03674e-07
76,107397,131396,0,169703,0.000769148,0.00052123,6.42679e-05,0.000931343,2.43728e-10,1.65168e-10,2.03653e-11,2.95125e-10
77,-8997.61,1729.25,0,9162.27,-0.468056,0.0887613,2.37196,2.41933,-1.48318e-07,2.81268e-08,7.51628e-07,7.66638e-07
78,-7029.5,2564.6,0,7482.72,-0.377442,0.136232,2.48221,2.51443,-1.19604e-07,4.31693e-08,7.86563e-07,7.96775e-07
79,-10032.7,5698.88,0,11538.3,-0.49219,0.277369,2.1986,2.27003,-1.55966e-07,8.7893e-08,6.96695e-07,7.19329e-07
80,-129210,129139,0,182680,-0.000381864,0.000388862,-1.5268e-05,0.000545222,-1.21005e-10,1.23223e-10,-4.83813e-12,1.7277e-10
81,84487.8,-69969.4,0,109699,0.00531349,-0.00439411,0.00127089,0.00701117,1.68374e-09,-1.39241e-09,4.0272e-10,2.22171e-09
